Employee,Vacation start date,Vacation end date
user1@rbt.rs,"Friday, August 30, 2019","Wednesday, September 11, 2019"
user1@rbt.rs,"Thursday, October 24, 2019","Thursday, October 24, 2019"
user1@rbt.rs,"Friday, November 22, 2019","Friday, November 22, 2019"
user1@rbt.rs,"Monday, March 9, 2020","Monday, March 9, 2020"
user1@rbt.rs,"Monday, May 25, 2020","Thursday, May 28, 2020"
user1@rbt.rs,"Monday, June 22, 2020","Thursday, June 25, 2020"
user1@rbt.rs,"Monday, August 24, 2020","Friday, August 28, 2020"
user1@rbt.rs,"Monday, April 5, 2021","Monday, April 5, 2021"
user1@rbt.rs,"Friday, April 23, 2021","Wednesday, April 28, 2021"
user1@rbt.rs,"Monday, May 31, 2021","Friday, June 4, 2021"
user1@rbt.rs,"Monday, June 21, 2021","Friday, June 25, 2021"
user41@rbt.rs,"Tuesday, December 29, 2020","Tuesday, December 29, 2020"
user41@rbt.rs,"Friday, February 12, 2021","Wednesday, February 17, 2021"
user41@rbt.rs,"Friday, March 12, 2021","Friday, March 12, 2021"
user41@rbt.rs,"Wednesday, May 5, 2021","Wednesday, May 5, 2021"
user41@rbt.rs,"Friday, May 7, 2021","Friday, May 7, 2021"
user41@rbt.rs,"Monday, May 31, 2021","Monday, May 31, 2021"
user41@rbt.rs,"Monday, July 5, 2021","Thursday, July 22, 2021"
user40@rbt.rs,"Monday, April 26, 2021","Wednesday, April 28, 2021"
user40@rbt.rs,"Thursday, April 29, 2021","Thursday, April 29, 2021"
user40@rbt.rs,"Monday, August 2, 2021","Friday, August 13, 2021"
user2@rbt.rs,"Wednesday, September 4, 2019","Friday, September 6, 2019"
user2@rbt.rs,"Friday, January 31, 2020","Friday, February 7, 2020"
user2@rbt.rs,"Thursday, February 20, 2020","Thursday, February 20, 2020"
user2@rbt.rs,"Monday, May 18, 2020","Friday, May 29, 2020"
user2@rbt.rs,"Monday, August 24, 2020","Friday, September 4, 2020"
user2@rbt.rs,"Monday, March 8, 2021","Friday, March 19, 2021"
user2@rbt.rs,"Monday, July 19, 2021","Friday, July 23, 2021"
user3@rbt.rs,"Tuesday, April 30, 2019","Tuesday, April 30, 2019"
user3@rbt.rs,"Monday, April 22, 2019","Monday, April 22, 2019"
user3@rbt.rs,"Monday, August 19, 2019","Friday, August 30, 2019"
user3@rbt.rs,"Friday, October 11, 2019","Monday, October 14, 2019"
user3@rbt.rs,"Wednesday, February 26, 2020","Friday, February 28, 2020"
user3@rbt.rs,"Friday, May 22, 2020","Friday, May 22, 2020"
user3@rbt.rs,"Wednesday, July 29, 2020","Wednesday, July 29, 2020"
user3@rbt.rs,"Friday, August 14, 2020","Friday, August 14, 2020"
user3@rbt.rs,"Friday, September 18, 2020","Friday, September 18, 2020"
user3@rbt.rs,"Monday, October 12, 2020","Monday, October 19, 2020"
user3@rbt.rs,"Wednesday, October 21, 2020","Friday, October 23, 2020"
user3@rbt.rs,"Friday, January 29, 2021","Friday, January 29, 2021"
user3@rbt.rs,"Wednesday, May 5, 2021","Friday, May 7, 2021"
user3@rbt.rs,"Monday, August 2, 2021","Monday, August 9, 2021"
user3@rbt.rs,"Tuesday, August 10, 2021","Friday, August 13, 2021"
user3@rbt.rs,"Thursday, October 21, 2021","Thursday, October 21, 2021"
user3@rbt.rs,"Friday, November 12, 2021","Friday, November 12, 2021"
user4@rbt.rs,"Wednesday, June 26, 2019","Friday, July 5, 2019"
user4@rbt.rs,"Thursday, August 29, 2019","Friday, September 6, 2019"
user4@rbt.rs,"Monday, June 22, 2020","Friday, June 26, 2020"
user4@rbt.rs,"Monday, August 31, 2020","Friday, September 11, 2020"
user4@rbt.rs,"Monday, February 22, 2021","Wednesday, February 24, 2021"
user4@rbt.rs,"Wednesday, April 28, 2021","Thursday, April 29, 2021"
user4@rbt.rs,"Wednesday, May 5, 2021","Wednesday, May 5, 2021"
user4@rbt.rs,"Friday, May 7, 2021","Friday, May 7, 2021"
user4@rbt.rs,"Monday, July 5, 2021","Wednesday, July 7, 2021"
user4@rbt.rs,"Thursday, July 8, 2021","Friday, July 16, 2021"
user4@rbt.rs,"Monday, August 30, 2021","Friday, September 10, 2021"
user5@rbt.rs,"Tuesday, April 30, 2019","Tuesday, April 30, 2019"
user5@rbt.rs,"Tuesday, April 16, 2019","Tuesday, April 16, 2019"
user5@rbt.rs,"Friday, July 12, 2019","Friday, July 12, 2019"
user5@rbt.rs,"Monday, August 12, 2019","Friday, August 23, 2019"
user5@rbt.rs,"Wednesday, November 20, 2019","Wednesday, November 20, 2019"
user5@rbt.rs,"Monday, December 9, 2019","Monday, December 9, 2019"
user5@rbt.rs,"Monday, March 9, 2020","Friday, March 13, 2020"
user5@rbt.rs,"Friday, May 8, 2020","Friday, May 8, 2020"
user5@rbt.rs,"Monday, July 27, 2020","Monday, July 27, 2020"
user5@rbt.rs,"Monday, August 17, 2020","Friday, August 28, 2020"
user5@rbt.rs,"Monday, October 5, 2020","Monday, October 5, 2020"
user5@rbt.rs,"Wednesday, October 28, 2020","Wednesday, October 28, 2020"
user5@rbt.rs,"Tuesday, December 29, 2020","Tuesday, December 29, 2020"
user5@rbt.rs,"Monday, February 8, 2021","Monday, February 8, 2021"
user5@rbt.rs,"Monday, April 5, 2021","Monday, April 5, 2021"
user5@rbt.rs,"Tuesday, May 11, 2021","Tuesday, May 11, 2021"
user5@rbt.rs,"Tuesday, June 8, 2021","Tuesday, June 8, 2021"
user5@rbt.rs,"Monday, August 9, 2021","Monday, August 9, 2021"
user5@rbt.rs,"Tuesday, August 10, 2021","Tuesday, August 24, 2021"
user5@rbt.rs,"Wednesday, October 6, 2021","Wednesday, October 6, 2021"
user5@rbt.rs,"Friday, October 29, 2021","Friday, October 29, 2021"
user5@rbt.rs,"Tuesday, November 30, 2021","Tuesday, November 30, 2021"
user51@rbt.rs,"Tuesday, June 25, 2019","Friday, June 28, 2019"
user51@rbt.rs,"Friday, August 2, 2019","Friday, August 2, 2019"
user51@rbt.rs,"Monday, August 12, 2019","Monday, August 12, 2019"
user51@rbt.rs,"Friday, November 1, 2019","Thursday, November 21, 2019"
user51@rbt.rs,"Friday, November 22, 2019","Friday, November 22, 2019"
user51@rbt.rs,"Friday, January 3, 2020","Friday, January 10, 2020"
user51@rbt.rs,"Friday, February 7, 2020","Friday, February 7, 2020"
user51@rbt.rs,"Friday, March 6, 2020","Friday, March 6, 2020"
user51@rbt.rs,"Wednesday, May 13, 2020","Wednesday, May 13, 2020"
user51@rbt.rs,"Thursday, August 6, 2020","Friday, August 7, 2020"
user51@rbt.rs,"Friday, October 9, 2020","Friday, October 9, 2020"
user51@rbt.rs,"Monday, November 2, 2020","Friday, November 6, 2020"
user51@rbt.rs,"Thursday, November 26, 2020","Thursday, November 26, 2020"
user51@rbt.rs,"Tuesday, December 15, 2020","Thursday, December 17, 2020"
user6@rbt.rs,"Tuesday, July 9, 2019","Thursday, July 11, 2019"
user6@rbt.rs,"Monday, August 26, 2019","Monday, August 26, 2019"
user6@rbt.rs,"Thursday, September 12, 2019","Friday, September 13, 2019"
user6@rbt.rs,"Wednesday, December 18, 2019","Wednesday, December 18, 2019"
user6@rbt.rs,"Friday, February 7, 2020","Tuesday, February 11, 2020"
user6@rbt.rs,"Thursday, March 19, 2020","Thursday, March 19, 2020"
user6@rbt.rs,"Tuesday, April 14, 2020","Tuesday, April 14, 2020"
user6@rbt.rs,"Tuesday, August 11, 2020","Tuesday, August 11, 2020"
user6@rbt.rs,"Wednesday, October 14, 2020","Wednesday, October 14, 2020"
user6@rbt.rs,"Thursday, July 30, 2020","Thursday, July 30, 2020"
user6@rbt.rs,"Monday, January 18, 2021","Friday, January 22, 2021"
user6@rbt.rs,"Monday, July 12, 2021","Friday, July 16, 2021"
user6@rbt.rs,"Thursday, August 26, 2021","Friday, August 27, 2021"
user6@rbt.rs,"Friday, September 3, 2021","Friday, September 3, 2021"
user6@rbt.rs,"Friday, September 17, 2021","Friday, September 17, 2021"
user6@rbt.rs,"Friday, November 12, 2021","Friday, November 12, 2021"
user6@rbt.rs,"Monday, December 13, 2021","Monday, December 13, 2021"
user7@rbt.rs,"Monday, July 1, 2019","Friday, July 5, 2019"
user7@rbt.rs,"Friday, May 3, 2019","Friday, May 3, 2019"
user7@rbt.rs,"Monday, June 10, 2019","Monday, June 10, 2019"
user7@rbt.rs,"Thursday, August 8, 2019","Thursday, August 8, 2019"
user7@rbt.rs,"Monday, September 23, 2019","Monday, September 23, 2019"
user7@rbt.rs,"Monday, October 7, 2019","Monday, October 7, 2019"
user7@rbt.rs,"Friday, December 13, 2019","Friday, December 13, 2019"
user7@rbt.rs,"Friday, January 3, 2020","Friday, January 3, 2020"
user7@rbt.rs,"Monday, January 6, 2020","Monday, January 13, 2020"
user7@rbt.rs,"Thursday, January 23, 2020","Thursday, January 23, 2020"
user7@rbt.rs,"Monday, March 9, 2020","Tuesday, March 10, 2020"
user7@rbt.rs,"Thursday, March 12, 2020","Thursday, March 12, 2020"
user7@rbt.rs,"Thursday, April 9, 2020","Thursday, April 9, 2020"
user7@rbt.rs,"Wednesday, May 6, 2020","Thursday, May 7, 2020"
user7@rbt.rs,"Friday, May 15, 2020","Friday, May 15, 2020"
user7@rbt.rs,"Tuesday, June 16, 2020","Tuesday, June 16, 2020"
user7@rbt.rs,"Friday, July 3, 2020","Friday, July 3, 2020"
user7@rbt.rs,"Monday, August 3, 2020","Friday, August 7, 2020"
user7@rbt.rs,"Monday, September 28, 2020","Wednesday, September 30, 2020"
user7@rbt.rs,"Monday, January 4, 2021","Wednesday, January 6, 2021"
user7@rbt.rs,"Monday, January 11, 2021","Friday, January 15, 2021"
user7@rbt.rs,"Wednesday, March 17, 2021","Wednesday, March 17, 2021"
user7@rbt.rs,"Monday, March 22, 2021","Friday, March 26, 2021"
user8@rbt.rs,"Monday, October 14, 2019","Friday, October 18, 2019"
user8@rbt.rs,"Monday, December 30, 2019","Friday, January 10, 2020"
user8@rbt.rs,"Monday, June 1, 2020","Friday, June 5, 2020"
user8@rbt.rs,"Friday, May 22, 2020","Friday, May 22, 2020"
user8@rbt.rs,"Monday, August 17, 2020","Tuesday, August 18, 2020"
user8@rbt.rs,"Monday, September 14, 2020","Friday, September 25, 2020"
user8@rbt.rs,"Monday, January 4, 2021","Wednesday, January 6, 2021"
